divipola,municipio,departamento,area_km2,celdas,muestreo,mmi_max,mmi_media,mmi_min,pga_max,vs30_medio,vs30_min,frac_mmi6,frac_mmi7,frac_mmi8,frac_pager6,frac_pager7,frac_pager8,peso_dano,pob_cabecera,pob_rural,pob_total,def_cuantitativo,def_cualitativo,def_habitacional,exposicion,vulnerabilidad,indice,pob_mmi6,pob_pager6,pob_mmi7,pob_pager7,pob_mmi8,pob_pager8,rank,nombre_norm,depto_norm,ambiguedad,requiere_contexto,menciones,notas_que_lo_nombran,menciones_nacional,menciones_regional,muertos_rep,heridos_rep,desaparecidos_rep,viv_colapsadas_rep,viv_averiadas_rep,fuente_perdidas,cobertura_dato,muertos_100k
25394,LA PALMA,CUNDINAMARCA,190.790693303,194,celdas,5.300000190734863,4.763917922973633,4.400000095367432,9.37600040435791,679.70361328125,403.5,0.0,0.0,0.0,0.0,0.0,0.0,0.000476710149087,4899.0,4826.0,9725.0,13.02235221862793,43.01911163330078,56.04146385192871,4.63600619987119,1.560414638519287,7.234091938545176,0,0,0,0,0,0,346,la palma,cundinamarca,unico,False,0,0,0,0,,,,,,,1,
19743,SILVIA,CAUCA,680.991566503,680,celdas,5.199999809265137,4.574559211730957,4.099999904632568,7.974999904632568,637.8643798828125,324.3999938964844,0.0,0.0,0.0,0.0,0.0,0.0,0.0001114726401283,4076.0,36428.0,40504.0,10.011248588562012,48.73855209350586,58.74980068206787,4.5150878157583065,1.5874980068206788,7.167692908136644,0,0,0,0,0,0,347,silvia,cauca,unico,False,2,2,2,0,,,,,,,1,
25817,TOCANCIPÁ,CUNDINAMARCA,73.2401596597,72,celdas,5.099999904632568,4.454166889190674,3.900000095367432,7.6620001792907715,482.8319091796875,209.1000061035156,0.0,0.0,0.0,0.0,0.0,0.0,8.78408391145058e-05,23617.0,26970.0,50587.0,9.15612506866455,50.68651580810547,59.84264087677002,4.443604528285505,1.5984264087677,7.102774828131289,0,0,0,0,0,0,348,tocancipa,cundinamarca,unico,False,0,0,0,0,,,,,,,1,
52390,LA TOLA,NARIÑO,415.909047795,415,celdas,5.199999809265137,4.726024150848389,4.0,5.27400016784668,263.05975341796875,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004391167894937,3181.0,4782.0,7963.0,64.45466613769531,35.15111541748047,99.60578155517578,3.496686994738411,1.9960578155517577,6.979589404385793,0,0,0,0,0,0,349,la tola,narino,unico,False,0,0,0,0,,,,,,,0,
25258,EL PEÑÓN,CUNDINAMARCA,134.090998364,133,celdas,5.400000095367432,4.645112991333008,4.300000190734863,9.378999710083008,679.7149658203125,344.29998779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0008084021392278,970.0,3749.0,4719.0,14.85915470123291,67.74647521972656,82.60562992095947,3.814849695016164,1.8260562992095948,6.966130316122069,0,0,0,0,0,0,350,el penon,cundinamarca,nombre_repetido,True,0,0,0,0,,,,,,,1,
41349,HOBO,HUILA,194.233398087,191,celdas,5.300000190734863,4.427748203277588,4.0,7.5,608.71728515625,274.20001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0004950729198753,6302.0,1873.0,8175.0,8.315098762512207,42.1444206237793,50.459519386291504,4.047221119981259,1.5045951938629152,6.089429445624288,0,0,0,0,0,0,351,hobo,huila,corto,True,0,0,0,0,,,,,,,1,
73024,ALPUJARRA,TOLIMA,501.5113202,503,celdas,5.400000095367432,4.661828994750977,4.300000190734863,9.413999557495115,727.1250610351562,368.7000122070313,0.0,0.0,0.0,0.0,0.0,0.0,0.0007902958313934,2309.0,2583.0,4892.0,2.6940345764160156,45.47787094116211,48.171905517578125,3.86612720717676,1.4817190551757813,5.7285143526073306,0,0,0,0,0,0,352,alpujarra,tolima,unico,False,0,0,0,0,,,,,,,1,
25867,VIANÍ,CUNDINAMARCA,67.1183769356,67,celdas,5.199999809265137,4.856716156005859,4.599999904632568,10.020000457763672,756.0476684570312,526.4000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0007699754787608,1916.0,2760.0,4676.0,7.3287672996521,44.72602844238281,52.05479574203491,3.6004053386859596,1.520547957420349,5.474588983624256,0,0,0,0,0,0,353,viani,cundinamarca,unico,False,0,0,0,0,,,,,,,1,
41801,TERUEL,HUILA,471.734353681,471,celdas,5.400000095367432,4.511464595794678,4.099999904632568,9.90999984741211,738.0220947265625,333.70001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0003709152515511,4408.0,3869.0,8277.0,4.421768665313721,46.47108840942383,50.89285707473755,3.070065537089249,1.5089285707473756,4.632509602980855,0,0,0,0,0,0,354,teruel,huila,unico,False,0,0,0,0,,,,,,,1,
05647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,206.856347019,206,celdas,5.199999809265137,4.378640651702881,4.099999904632568,7.913000106811523,769.9437866210938,349.20001220703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0003780512197408,3162.0,4218.0,7380.0,6.6362714767456055,55.57244110107422,62.208712577819824,2.790018001687713,1.622087125778198,4.525652281227054,0,0,0,0,0,0,355,san andres de cuerquia,antioquia,unico,False,0,0,0,0,,,,,,,1,
