fecha,categoria,valor,medio,url,contexto
2026-12-13,heridos,3000,La FM,https://www.lafm.com.co/deportes/terremoto-colombia-presidente-dimayor-revela-corte-futbol-liga-betplay-407809," dej&#xf3; casi 100.000 personas afectadas, con m&#xe1;s de 3.000 heridos. credito: colprensa y dimayor el presidente de la dimayor, "
2026-06-26,muertos,250,Las2orillas,https://www.las2orillas.co/el-sacerdote-y-expandillero-que-hace-dos-meses-predijo-el-tragico-terremoto-del-pasado-10-de-agosto/,", pues aseguro que no iba a ser grave. hasta el momento van 250 fallecidos, mas de 1.300 heridos, miles de desaparecidos, y lugares de"
2026-08-10,muertos,281,Infobae,https://www.infobae.com/colombia/2026/08/10/en-vivo-fuerte-temblor-de-74-se-sintio-en-colombia-cali-y-manizales-reportan-derrumbes-en-edificaciones/," los familiares de las victimas de la tragedia, que ya deja 281 muertos a las 7:34 a. m. del lunes, un sismo prolongado se sintio e"
2026-08-10,muertos,300,La FM,https://www.lafm.com.co/sociedad/terremoto-en-colombia-que-es-la-subduccion-fenomeno-geologico-407848, colombia: la subducci&#xf3;n colombia reporta alrededor de 300 muertos tras uno de los terremotos m&#xe1;s fuertes en su historia 
2026-08-10,muertos,300,Infobae,https://www.infobae.com/colombia/2026/08/10/en-vivo-fuerte-temblor-de-74-se-sintio-en-colombia-cali-y-manizales-reportan-derrumbes-en-edificaciones/,"n saldo devastador: mas de 102.000 personas afectadas, casi 300 fallecidos, cerca de 11.000 viviendas destruidas y un sistema de servi"
2026-08-11,muertos,14,Chocó7dias,https://choco7dias.com/ultimo-balance-del-terremoto-en-el-choco-14-muertos-mas-de-43-000-damnificados-y-468-viviendas-destruidas/,"lt home lo ultimo ultimo balance del terremoto en el choco: 14 muertos, mas de 43.000 damnificados y 468 viviendas destruidas by c"
2026-08-12,muertos,74,El Universal,https://www.eluniversal.com.co/colombia/2026/08/12/terremoto-en-colombia-las-cifras-por-ciudades-tras-3-dias-de-la-tragedia/,"ectacion segun las cifras de asocapitales. alli se reportan 74 fallecidos, 1.008 heridos y 230 desaparecidos. los equipos de rescate "
2026-08-12,muertos,83,El Universal,https://www.eluniversal.com.co/colombia/2026/08/12/terremoto-en-colombia-las-cifras-por-ciudades-tras-3-dias-de-la-tragedia/,"fe/ ernesto guzman. pereira, capital de risaralda, registra 83 fallecidos, 279 heridos y 45 desaparecidos, ademas de 243 personas res"
2026-08-12,muertos,281,Infobae,https://www.infobae.com/colombia/2026/08/12/que-hacer-durante-un-terremoto-si-esta-en-un-edificio-brigadista-de-topos-azteca-explico-la-posicion-mas-segura-para-resguardarse/,"s de la reconstruccion del pais por la tragedia que ya deja 281 muertos a las 7:34 a. m. del lunes, un sismo prolongado se sintio e"
2026-08-13,muertos,125,Infobae,https://www.infobae.com/colombia/2026/08/13/la-liendra-anuncio-un-documental-para-recaudar-dinero-para-los-damnificados-del-terremoto-en-colombia/,"lle del cauca concentra la mayor parte de las victimas, con 125 fallecidos, seguido de risaralda con 94. ante esa magnitud, la iniciat"
2026-08-13,muertos,204,Infobae,https://www.infobae.com/colombia/2026/08/13/terremoto-en-colombia-el-servicio-geologico-aclaro-si-los-cambios-de-clima-pueden-anticipar-un-sismo/,"ldo de 273 fallecidos en el balance nacional, de los cuales 204 victimas mortales se reportaron en ciudades capitales, segun la asociacion co"
2026-08-13,muertos,270,Infobae,https://www.infobae.com/colombia/deportes/2026/08/13/las-tres-propuestas-de-la-dimayor-para-terminar-la-liga-betplay-y-la-copa-colombia-en-2026-tras-el-terremoto-evaluan-cambios/,"agnitud 7,4 grados en la escala de richter, que dejo mas de 270 muertos en las regiones del pacifico y el eje cafetero, ademas de g"
2026-08-13,muertos,273,La FM,https://www.lafm.com.co/actualidad/terremoto-colombia-en-vivo-hoy-13-agosto-2026-ultima-hora-balance-muertos-desaparecidos-407738,"nce por el terremoto del lunes: 9 7.515 personas afectadas, 273 muertos, 377 desaparecidos y 3.824 heridos. 11:44 a.&#xa0;m. habita"
2026-08-13,muertos,273,Infobae,https://www.infobae.com/colombia/2026/08/13/terremoto-en-colombia-el-servicio-geologico-aclaro-si-los-cambios-de-clima-pueden-anticipar-un-sismo/,"te en colombia en lo que va del siglo xxi, dejo un saldo de 273 fallecidos en el balance nacional, de los cuales 204 victimas mortales"
2026-08-13,muertos,273,El Universal,https://www.eluniversal.com.co/mundo/2026/08/13/espana-anuncia-millonaria-ayuda-para-afectados-por-terremoto-en-colombia/,"te la emergencia. lea: terremoto de 7,4 en colombia ya deja 273 fallecidos y 377 personas desaparecidas de los recursos anunciados, 50"
2026-08-13,muertos,281,Infobae,https://www.infobae.com/colombia/2026/08/13/terremoto-en-colombia-el-servicio-geologico-aclaro-si-los-cambios-de-clima-pueden-anticipar-un-sismo/,"s de la reconstruccion del pais por la tragedia que ya deja 281 muertos a las 7:34 a. m. del lunes, un sismo prolongado se sintio e"
2026-08-13,muertos,281,El Universal,https://www.eluniversal.com.co/colombia/2026/08/13/crece-cifra-de-fallecidos-en-colombia-tras-terremoto-de-74/," el presidente abelardo de la espriella, la cifra aumento a 281 fallecidos por el fuerte sismo que sacudio al paias. asimismo, el mand"
2026-08-14,muertos,15,El País (Cali),https://www.elpais.com.co/cali/terremoto-en-cali-en-vivo-autoridades-suspenden-el-pico-y-placa-debido-a-la-emergencia-1007.html," unificado (pmu), el cual ratifico un balance preliminar de 15 fallecidos y 380 heridos en la ciudad. el alcalde alejandro eder infor"
2026-08-14,muertos,270,Infobae,https://www.infobae.com/colombia/deportes/2026/08/14/la-dimayor-paso-de-las-criticas-a-los-aplausos-por-aplazar-el-futbol-colombiano-tras-el-terremoto-prioriza-la-empatia/,"emoto de 7,4 grados en la escala de richter que dejo mas de 270 muertos en las regiones del pacifico y el eje cafetero. sin embargo"
2026-08-14,muertos,281,Infobae,https://www.infobae.com/colombia/2026/08/14/que-tan-preparada-esta-bogota-para-un-gran-sismo-75-de-las-edificaciones-son-vulnerables-y-nueve-localidades-enfrentarian-riesgo-por-suelos-blandos/," los familiares de las victimas de la tragedia, que ya deja 281 muertos a las 7:34 a. m. del lunes, un sismo prolongado se sintio e"
2026-08-14,muertos,300,Infobae,https://www.infobae.com/colombia/2026/08/14/que-tan-preparada-esta-bogota-para-un-gran-sismo-75-de-las-edificaciones-son-vulnerables-y-nueve-localidades-enfrentarian-riesgo-por-suelos-blandos/,"n saldo devastador: mas de 102.000 personas afectadas, casi 300 fallecidos, cerca de 11.000 viviendas destruidas y un sistema de servi"
2026-12-13,muertos,270,La FM,https://www.lafm.com.co/deportes/terremoto-colombia-presidente-dimayor-revela-corte-futbol-liga-betplay-407809," encrucijada etica y logistica. con un saldo que supera los 270 fallecidos, miles de viviendas destruidas y una crisis humanitaria en "
2026-08-11,viviendas_averiadas,3199,Chocó7dias,https://choco7dias.com/ultimo-balance-del-terremoto-en-el-choco-14-muertos-mas-de-43-000-damnificados-y-468-viviendas-destruidas/,"as. en materia de infraestructura, las autoridades reportan 3.199 viviendas averiadas y 468 completamente destruidas. advertisement adem s, se re"
2026-08-13,viviendas_averiadas,65841,El Universal,https://www.eluniversal.com.co/colombia/2026/08/13/crece-cifra-de-fallecidos-en-colombia-tras-terremoto-de-74/,"rremoto. el terremoto dejo ademas 127 edificios colapsados, 65.841 viviendas averiadas y 10.677 destruidas, detallo de la espriella, que ha prefer"
2026-08-14,viviendas_averiadas,5000,El País (Cali),https://www.elpais.com.co/cali/terremoto-en-cali-en-vivo-autoridades-suspenden-el-pico-y-placa-debido-a-la-emergencia-1007.html,"uerdo con el mandatario, la emergencia deja ademas cerca de 5.000 viviendas averiadas o colapsadas , mientras las autoridades concentran sus esfu"
2026-08-14,viviendas_averiadas,65841,Infobae,https://www.infobae.com/colombia/2026/08/14/que-tan-preparada-esta-bogota-para-un-gran-sismo-75-de-las-edificaciones-son-vulnerables-y-nueve-localidades-enfrentarian-riesgo-por-suelos-blandos/,"adas. a nivel de infraestructura, el panorama es alarmante: 65.841 viviendas averiadas, 10.677 destruidas y 127 edificios colapsados , acompanados"
2026-08-10,viviendas_destruidas,11000,Infobae,https://www.infobae.com/colombia/2026/08/10/en-vivo-fuerte-temblor-de-74-se-sintio-en-colombia-cali-y-manizales-reportan-derrumbes-en-edificaciones/,"e 102.000 personas afectadas, casi 300 fallecidos, cerca de 11.000 viviendas destruidas y un sistema de servicios colapsado en decenas de municipio"
2026-08-11,viviendas_destruidas,468,Chocó7dias,https://choco7dias.com/ultimo-balance-del-terremoto-en-el-choco-14-muertos-mas-de-43-000-damnificados-y-468-viviendas-destruidas/,"emoto en el choco: 14 muertos, mas de 43.000 damnificados y 468 viviendas destruidas by choco 7 dias 12 agosto, 2026 in lo ultimo 0 ultimo balan"
2026-08-13,viviendas_destruidas,1067,La FM,https://www.lafm.com.co/actualidad/terremoto-colombia-en-vivo-hoy-13-agosto-2026-ultima-hora-balance-muertos-desaparecidos-407738,"gnitud 7,4 en colombia, que dejo 44.936 familias afectadas, 1.067 viviendas destruidas y mas de 65.000 averiadas, el presidente abelardo de la esp"
2026-08-13,viviendas_destruidas,1136,Infobae,https://www.infobae.com/colombia/2026/08/13/la-liendra-anuncio-un-documental-para-recaudar-dinero-para-los-damnificados-del-terremoto-en-colombia/," terremoto afecto 357 municipios en 13 departamentos y dejo 1.136 viviendas destruidas, 8.385 averiadas y danos en 796 centros educativos y 84 est"
2026-08-13,viviendas_destruidas,10677,Infobae,https://www.infobae.com/colombia/2026/08/13/indemnizacion-por-el-terremoto-quien-puede-reclamar-hasta-43-millones-y-que-documentos-necesita/,"encia tambien provoco que 65.841 viviendas esten averiadas, 10.677 viviendas destruidas y 127 edificios colapsados. para las victimas y sus familia"
2026-08-13,viviendas_destruidas,12584,La FM,https://www.lafm.com.co/actualidad/terremoto-colombia-en-vivo-hoy-13-agosto-2026-ultima-hora-balance-muertos-desaparecidos-407738,"ntos del pais, mientras que en infraestructura se registran 12.584 viviendas destruidas, 74.873 averiadas y 172 edificios colapsados, ademas de gra"
2026-08-14,viviendas_destruidas,11000,Infobae,https://www.infobae.com/colombia/2026/08/14/que-tan-preparada-esta-bogota-para-un-gran-sismo-75-de-las-edificaciones-son-vulnerables-y-nueve-localidades-enfrentarian-riesgo-por-suelos-blandos/,"e 102.000 personas afectadas, casi 300 fallecidos, cerca de 11.000 viviendas destruidas y un sistema de servicios colapsado en decenas de municipio"
