divipola,municipio,departamento,mmi_max,vs30_medio,pob_total,pob_cabecera,pob_rural,def_cualitativo,desliz_max,desliz_media,desliz_km2,desliz_frac,licuef_max,licuef_media,licuef_km2,licuef_frac,pob_rural_desliz,pob_licuef
05142,CARACOLÍ,ANTIOQUIA,5.5,503.6761474609375,4482.0,2771.0,1711.0,52.33333206176758,0.0013,0.0005493438320209972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05145,CARAMANTA,ANTIOQUIA,6.0,854.7088623046875,4444.0,2140.0,2304.0,42.16393280029297,0.0179,0.0016463400576368877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05147,CAREPA,ANTIOQUIA,5.099999904632568,368.9910888671875,51298.0,37099.0,14199.0,31.53390884399414,0.0006,0.00016270188885847246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05148,EL CARMEN DE VIBORAL,ANTIOQUIA,6.0,659.9193115234375,70734.0,42227.0,28507.0,20.311113357543945,0.0054,0.0006438213524024589,0.0,0.0,0.268,0.0055436781609195405,1.7044123440104235,0.00399800099950025,0.0,283.0
05150,CAROLINA,ANTIOQUIA,5.400000095367432,561.3013916015625,3932.0,2993.0,939.0,26.831148147583008,0.0009,0.0005383985765124554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05154,CAUCASIA,ANTIOQUIA,4.800000190734863,281.0223388671875,93976.0,84138.0,9838.0,30.227678298950195,0.0006,9.355107135427501e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05172,CHIGORODÓ,ANTIOQUIA,5.300000190734863,380.0864562988281,56664.0,47673.0,8991.0,27.50135612487793,0.0008,0.0001849529550132314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05190,CISNEROS,ANTIOQUIA,5.099999904632568,717.5979614257812,10136.0,8896.0,1240.0,48.98659133911133,0.0007,0.0005707814269535674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05197,COCORNÁ,ANTIOQUIA,5.599999904632568,736.0020751953125,16099.0,7397.0,8702.0,47.33646774291992,0.0036,0.0007054441260744984,0.0,0.0,0.0012,1.4045936395759714e-05,0.0,0.0,0.0,0.0
05206,CONCEPCIÓN,ANTIOQUIA,5.699999809265137,564.4088134765625,5136.0,2251.0,2885.0,50.99715042114258,0.001,0.0005540063257775434,0.0,0.0,0.2121,0.0012568109820485745,0.21305154300130294,0.0010559662090813093,0.0,5.0
05209,CONCORDIA,ANTIOQUIA,5.900000095367432,806.5354614257812,22145.0,8173.0,13972.0,51.440406799316406,0.0072,0.0009983690987124465,0.0,0.0,0.0024,5.312767780634105e-06,0.0,0.0,0.0,0.0
05212,COPACABANA,ANTIOQUIA,5.0,821.607177734375,92069.0,73753.0,18316.0,17.34697914123535,0.001,0.0006070422535211267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05234,DABEIBA,ANTIOQUIA,5.400000095367432,732.603759765625,24937.0,10272.0,14665.0,33.5804557800293,0.0018,0.0006161799033711524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05237,DONMATÍAS,ANTIOQUIA,5.5,612.64404296875,19849.0,13085.0,6764.0,23.903369903564453,0.0008,0.0005649711588883062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05240,EBÉJICO,ANTIOQUIA,5.599999904632568,772.3120727539062,12571.0,2762.0,9809.0,50.417972564697266,0.0042,0.0007389287315105334,0.0,0.0,0.0045,1.566696508504924e-05,0.0,0.0,0.0,0.0
05250,EL BAGRE,ANTIOQUIA,4.900000095367432,469.1595153808594,56596.0,38492.0,18104.0,40.36549758911133,0.0006,0.0003543226964947066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05264,ENTRERRÍOS,ANTIOQUIA,5.599999904632568,501.0055847167969,12894.0,6834.0,6060.0,31.332618713378903,0.0008,0.0005360822189202575,0.0,0.0,0.0049,4.865938430983118e-06,0.0,0.0,0.0,0.0
05266,ENVIGADO,ANTIOQUIA,6.0,676.9837646484375,268381.0,257546.0,10835.0,6.636229515075684,0.0015,0.0006262064343163539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05282,FREDONIA,ANTIOQUIA,6.300000190734863,731.553955078125,26522.0,9322.0,17200.0,38.459232330322266,0.0126,0.0009200334938245762,0.0,0.0,0.0664,0.0005643755238893546,0.0,0.0,0.0,0.0
05284,FRONTINO,ANTIOQUIA,5.800000190734863,677.6080322265625,21808.0,9747.0,12061.0,38.67836380004883,0.0037,0.0006320270218400952,0.0,0.0,0.2638,0.0011350715274573142,1.0652577150065148,0.0007691124442393477,0.0,17.0
05306,GIRALDO,ANTIOQUIA,5.0,820.468017578125,6491.0,2586.0,3905.0,51.27596282958984,0.0011,0.0006571510297482836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05308,GIRARDOTA,ANTIOQUIA,5.300000190734863,769.7633666992188,62138.0,34131.0,28007.0,31.32333755493164,0.0009,0.000585576923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05310,GÓMEZ PLATA,ANTIOQUIA,5.5,635.7532348632812,10420.0,5649.0,4771.0,43.56402587890625,0.0013,0.0005633881526425035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05313,GRANADA,ANTIOQUIA,5.699999809265137,648.0521240234375,10502.0,5873.0,4629.0,34.916202545166016,0.0012,0.0006167926112510495,0.0,0.0,0.0077,1.4653243847874718e-05,0.0,0.0,0.0,0.0
05315,GUADALUPE,ANTIOQUIA,4.900000095367432,725.7008056640625,7031.0,2600.0,4431.0,56.89655303955078,0.0028,0.0006459435230838189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05318,GUARNE,ANTIOQUIA,5.699999809265137,509.8114929199219,66158.0,23576.0,42582.0,26.34131622314453,0.0008,0.0005338456164862033,0.0,0.0,0.1492,0.0018697771587743732,0.0,0.0,0.0,0.0
